"","ID","trial","cue","left","right","car_chosen","location_chosen","rt","rt_short","rt_long","reward_n1back","reward","stay_color","stay_key","unchosen_car_oneback","reoffered_unchosen","reoffered_chosen","same_colour_offered","cue_n1back","age","sex","ocir","bai","accident","unchosen_car","stay_car_unch"
"2","038c23706c7f4e259e52b57fa99826ae",2,1,"yellow","blue","yellow","left",1560,"keep","keep",0,1,1,1,"green",0,1,"Same","threat",22,2,0.279371730473444,0.995869588878987,2,"blue",0
"3","038c23706c7f4e259e52b57fa99826ae",3,2,"yellow","red","yellow","left",1199,"keep","keep",1,0,1,1,"blue",0,1,"Same","neutral",22,2,0.279371730473444,0.995869588878987,2,"red",0
"4","038c23706c7f4e259e52b57fa99826ae",4,0,"blue","green","green","right",625,"keep","keep",0,1,0,0,"red",0,0,"Different","threat",22,2,0.279371730473444,0.995869588878987,2,"blue",0
"5","038c23706c7f4e259e52b57fa99826ae",5,0,"red","green","green","right",1260,"keep","keep",1,0,1,1,"blue",0,1,"Same","no cue",22,2,0.279371730473444,0.995869588878987,2,"red",0
"7","038c23706c7f4e259e52b57fa99826ae",7,0,"red","yellow","red","left",1804,"keep","keep",0,1,0,1,"yellow",1,0,"Same","threat",22,2,0.279371730473444,0.995869588878987,2,"yellow",0
"8","038c23706c7f4e259e52b57fa99826ae",8,1,"blue","yellow","yellow","right",2261,"keep","keep",1,0,0,0,"yellow",1,0,"Same","no cue",22,2,0.279371730473444,0.995869588878987,2,"blue",1
"9","038c23706c7f4e259e52b57fa99826ae",9,1,"blue","green","green","right",2679,"keep","keep",0,1,0,1,"blue",1,0,"Same","neutral",22,2,0.279371730473444,0.995869588878987,2,"blue",0
"10","038c23706c7f4e259e52b57fa99826ae",10,2,"blue","yellow","yellow","right",2291,"keep","keep",1,0,0,1,"blue",1,0,"Same","neutral",22,2,0.279371730473444,0.995869588878987,2,"blue",0
"11","038c23706c7f4e259e52b57fa99826ae",11,2,"blue","yellow","blue","left",567,"keep","keep",0,0,0,0,"blue",1,1,"Same","threat",22,2,0.279371730473444,0.995869588878987,2,"yellow",1
"12","038c23706c7f4e259e52b57fa99826ae",12,2,"red","yellow","red","left",1520,"keep","keep",0,0,0,1,"yellow",1,0,"Same","threat",22,2,0.279371730473444,0.995869588878987,2,"yellow",0
